feature,中文含义,特征值说明_中文,mlp_weight_abs_importance,rf_importance,perm_roc_auc,perm_pr_auc,perm_accuracy,perm_balanced_accuracy,perm_trusted_accuracy,perm_drop_roc_auc,perm_drop_pr_auc,perm_drop_accuracy,perm_drop_balanced_accuracy,perm_drop_trusted_accuracy,combined_mlp_perm
FastingBloodSugar,空腹血糖,,38.26211997657704,0.14277723,0.7401769911504424,0.5995082212826262,0.675531914893617,0.6717994100294985,0.6736604923922871,0.22643067846607678,0.34537641029384514,0.23936170212765961,0.24843657817109144,0.24389653394776678,0.9719832556068402
HbA1c,糖化血红蛋白,,40.53334469183925,0.15159222,0.7931563421828909,0.6651845609219608,0.7287234042553191,0.7339823008849558,0.7313433988592289,0.17345132743362834,0.2797000706545105,0.18617021276595747,0.1862536873156342,0.18621362748082493,0.8748515791973402
ExcessiveThirst,多饮,,36.43386721780907,0.041574486,0.9519174041297934,0.9203040906467704,0.8723404255319149,0.8781120943952803,0.875216744663671,0.014690265486725806,0.024580540929700856,0.04255319148936165,0.042123893805309676,0.04234028167638282,0.5342087643881547
FrequentUrination,尿频,,31.146677795739897,0.07443409,0.9464896755162242,0.9121639761718789,0.8723404255319149,0.8781120943952803,0.875216744663671,0.020117994100295022,0.03272065540459235,0.04255319148936165,0.042123893805309676,0.04234028167638282,0.4689885184120847
FatigueLevels,疲劳程度,,34.8382857376059,0.019266192,0.964070796460177,0.9374579521846957,0.9095744680851063,0.9158112094395281,0.9126821843172865,0.002536873156342212,0.007426679391775548,0.005319148936170248,0.004424778761061843,0.004874842022767334,0.43865371824599003
BUNLevels,血尿素氮,,34.64661091487994,0.017273208,0.9672566371681416,0.9459324712362915,0.9095744680851063,0.9158112094395281,0.9126821843172865,-0.0006489675516223592,-0.0010478396598202488,0.005319148936170248,0.004424778761061843,0.004874842022767334,0.4362893090887493
CholesterolLDL,低密度脂蛋白胆固醇,,33.62341650145656,0.019996988,0.9650147492625368,0.9399503608787666,0.9148936170212766,0.9202359882005899,0.9175570263400539,0.0015929203539823966,0.00493427069770469,0.0,0.0,0.0,0.4147624228531295
DietQuality,饮食质量,,34.0382344278744,0.021527546,0.9612389380530973,0.940497046841498,0.9202127659574468,0.9246607669616519,0.9224314043811791,0.00536873156342188,0.004387584734973249,-0.005319148936170248,-0.004424778761061954,-0.004874378041125227,0.41097417070721903
SystolicBP,收缩压,,32.541775433022224,0.019836273,0.9584660766961651,0.9364366145352284,0.9095744680851063,0.9158112094395281,0.9126821843172865,0.008141592920354102,0.008448017041242872,0.005319148936170248,0.004424778761061843,0.004874842022767334,0.41032506288775056
Smoking,吸烟,,32.97432507811777,0.019035555,0.9669026548672567,0.9452525195344783,0.9148936170212766,0.9202359882005899,0.9175570263400539,-0.0002949852507374562,-0.00036788795800701823,0.0,0.0,0.0,0.40675554076291953
Hypertension,高血压,,30.82843394657515,0.060959343,0.9569321533923304,0.930580201570976,0.9095744680851063,0.9090855457227138,0.9093299411837988,0.00967551622418883,0.014304430005495306,0.005319148936170248,0.01115044247787611,0.008227085156255032,0.4027260770188862
