iter	Passed	Remaining
0	2	1371
1	5	1256
2	7	1176
3	9	1167
4	11	1133
5	13	1098
6	15	1086
7	17	1092
8	19	1072
9	21	1044
10	22	1011
11	24	984
12	25	960
13	27	942
14	28	930
15	30	919
16	31	904
17	33	892
18	35	886
19	36	879
20	38	870
21	39	860
22	41	851
23	42	843
24	43	835
25	45	830
26	47	824
27	48	818
28	50	818
29	52	815
30	53	812
31	55	807
32	56	804
33	58	800
34	59	795
35	61	792
36	62	787
37	64	783
38	65	778
39	67	774
40	68	771
41	70	768
42	71	763
43	73	759
44	74	756
45	76	753
46	78	751
47	79	748
48	80	744
49	82	741
50	83	738
51	85	736
52	86	733
53	88	730
54	89	727
55	91	724
56	92	722
57	94	719
58	95	716
59	97	714
60	98	711
61	100	708
62	101	707
63	103	704
64	104	701
65	106	699
66	107	696
67	109	694
68	110	692
69	112	689
70	113	687
71	115	684
72	116	682
73	118	680
74	119	677
75	121	675
76	122	674
77	124	672
78	125	670
79	127	668
80	128	666
81	130	664
82	131	662
83	133	660
84	134	658
85	136	656
86	137	654
87	139	651
88	141	651
89	142	650
90	144	648
91	145	645
92	147	643
93	148	642
94	150	640
95	151	637
96	152	635
97	154	634
98	156	632
99	157	631
100	159	629
101	160	627
102	162	625
103	163	623
104	165	621
105	166	620
106	168	618
107	169	616
108	171	614
109	172	613
110	174	611
111	175	609
112	177	607
113	178	605
114	180	603
115	181	601
116	183	600
117	184	598
118	186	596
119	187	594
120	189	592
121	190	591
122	192	589
123	193	587
124	195	586
125	196	584
126	198	582
127	199	580
128	201	578
129	202	577
130	204	576
131	206	575
132	208	574
133	209	573
134	211	571
135	212	569
136	214	568
137	215	566
138	217	564
139	218	562
140	220	561
141	221	559
142	223	557
143	224	555
144	226	553
145	227	552
146	229	550
147	230	548
148	232	547
149	233	545
150	235	544
151	237	543
152	238	541
153	240	540
154	242	538
155	243	537
156	245	536
157	247	534
158	248	533
159	250	532
160	252	531
161	253	529
162	255	528
163	257	527
164	258	525
165	260	524
166	262	522
167	263	520
168	265	519
169	266	517
170	267	515
171	269	514
172	270	512
173	272	510
174	273	508
175	275	507
176	277	505
177	278	503
178	279	502
179	281	500
180	283	499
181	284	497
182	286	496
183	287	494
184	289	492
185	290	491
186	292	489
187	293	487
188	295	486
189	297	484
190	298	483
191	300	481
192	301	479
193	303	477
194	304	476
195	305	474
196	307	472
197	309	471
198	310	469
199	311	467
200	313	466
201	314	464
202	316	462
203	317	461
204	319	459
205	320	457
206	322	456
207	323	454
208	325	452
209	326	451
210	328	449
211	329	447
212	330	445
213	332	444
214	334	442
215	335	441
216	337	439
217	338	437
218	339	436
219	341	434
220	343	433
221	344	431
222	345	429
223	347	428
224	349	426
225	350	425
226	352	423
227	353	421
228	355	420
229	356	418
230	358	417
231	359	415
232	361	414
233	362	412
234	364	411
235	365	409
236	367	407
237	368	406
238	370	404
239	372	403
240	373	401
241	375	399
242	376	398
243	378	396
244	379	395
245	380	393
246	382	391
247	383	390
248	385	388
249	386	386
