变量名,中文含义,特征值说明_中文
SEQN,受访者序列号（合并主键）,唯一正整数；每条记录对应一名受试者
RIAGENDR,性别（1=男 2=女）,1=男 2=女
RIDAGEYR,年龄（岁，调查时）,连续数值，单位：岁（调查时年龄）
LBXSATSI,丙氨酸氨基转移酶 ALT（U/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSATLC,ALT 检测注释/标记码,实验室检测注释/检测限/结果标记码（见官方 Codebook 中该变量 Value Range）
LBXSAL,白蛋白（g/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSALSI,白蛋白（g/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSAPSI,碱性磷酸酶 ALP（U/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSASSI,天冬氨酸氨基转移酶 AST（U/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSC3SI,血清碳酸氢根/二氧化碳结合力相关（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSBU,血尿素氮 BUN（mg/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSBUSI,血尿素氮（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSCLSI,氯离子（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSCK,肌酸激酶 CK（U/L）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSCR,血清肌酐（mg/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSCRSI,血清肌酐（μmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSGB,球蛋白（g/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSGBSI,球蛋白（g/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
