变量名,中文含义,特征值说明_中文
SEQN,受访者序列号（合并主键）,唯一正整数；每条记录对应一名受试者
SDDSRVYR,数据公布周期编号（J 周期常为 10）,请在该变量英文 Codebook 中查阅 Value Description 与单位
RIDSTATR,是否完成家庭访谈（2=完成）,2=完成家庭访谈（其他编码见官方）
RIAGENDR,性别（1=男 2=女）,1=男 2=女
RIDAGEYR,年龄（岁，调查时）,连续数值，单位：岁（调查时年龄）
RIDRETH3,种族/墨西哥裔等 6 类细分编码,请在该变量英文 Codebook 中查阅 Value Description 与单位
DMDEDUC2,20 岁及以上教育程度（分类编码）,教育程度分类码（见官方码表）
DMDMARTL,婚姻状况（分类编码）,婚姻状况分类码（见官方码表）
RIDEXPRG,女性怀孕情况（分类编码）,1=是 2=否 3=不确定等（女性；见官方）
INDHHIN2,家庭年收入分类,家庭年收入分档码（见官方）
INDFMIN2,家庭收入区间/分类,家庭收入分档码（见官方）
INDFMPIR,贫困收入比 PIR（相对联邦贫困线）,请在该变量英文 Codebook 中查阅 Value Description 与单位
WTINT2YR,2 年访谈抽样权重（复杂抽样用）,请在该变量英文 Codebook 中查阅 Value Description 与单位
WTMEC2YR,2 年体检（MEC）抽样权重,请在该变量英文 Codebook 中查阅 Value Description 与单位
SDMVPSU,方差单位 PSU（复杂抽样用）,请在该变量英文 Codebook 中查阅 Value Description 与单位
SDMVSTRA,分层编号（复杂抽样用）,请在该变量英文 Codebook 中查阅 Value Description 与单位
LBXSATSI,丙氨酸氨基转移酶 ALT（U/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSATLC,ALT 检测注释/标记码,实验室检测注释/检测限/结果标记码（见官方 Codebook 中该变量 Value Range）
LBXSAL,白蛋白（g/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSALSI,白蛋白（g/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSAPSI,碱性磷酸酶 ALP（U/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSASSI,天冬氨酸氨基转移酶 AST（U/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSC3SI,血清碳酸氢根/二氧化碳结合力相关（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSBU,血尿素氮 BUN（mg/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSBUSI,血尿素氮（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSCLSI,氯离子（mmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSCR,血清肌酐（mg/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSCRSI,血清肌酐（μmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBXSGB,球蛋白（g/dL）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
LBDSGBSI,球蛋白（g/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用
