column,display_zh,role
RIDAGEYR,年龄(岁),numeric
BMXWT,体重(kg),numeric
BMXHT,身高(cm),numeric
BMXBMI,BMI,numeric
BMXWAIST,腰围(cm),numeric
BPXSY1,收缩压(mmHg),numeric
BPXDI1,舒张压(mmHg),numeric
LBXSATSI,ALT,numeric
LBXSASSI,AST,numeric
LBXSGTSI,GGT,numeric
LBXSTB,总胆红素,numeric
LBXSAL,白蛋白,numeric
LBXGLU,空腹血糖,numeric
LBXGH,HbA1c,numeric
LBDHDD,HDL‑C,numeric
LBXTR,LBXTR,numeric
LBDLDL,LBDLDL,numeric
LBXSUA,血清尿酸,numeric
TyG,TyG指数,numeric
ALT_AST_ratio,ALT/AST比值,numeric
TC_HDL_ratio,总胆固醇/HDL‑C,numeric
BRI,身体围度指数(BRI),numeric
RIAGENDR,性别,categorical
ALQ111,是否饮酒,categorical
SMQ020,吸烟状态,categorical
