bin,prob_low,prob_high,n,positives,rate,mean_prob
1,0.0,0.5580427050590515,0,0,,
2,0.5580427050590515,0.5580427050590515,0,0,,
3,0.5580427050590515,0.5580427050590515,0,0,,
4,0.5580427050590515,0.5580427050590515,0,0,,
5,0.5580427050590515,0.5580427050590515,0,0,,
6,0.5580427050590515,0.5580427050590515,0,0,,
7,0.5580427050590515,0.5580427050590515,0,0,,
8,0.5580427050590515,0.5580427050590515,0,0,,
9,0.5580427050590515,0.5580427050590515,0,0,,
10,0.5580427050590515,1.0,1,0,0.0,0.5580427050590515
