bin,prob_low,prob_high,n,positives,rate,mean_prob
1,0.0,0.26052215538720985,0,0,,
2,0.26052215538720985,0.26052215538720985,0,0,,
3,0.26052215538720985,0.26052215538720985,0,0,,
4,0.26052215538720985,0.26052215538720985,0,0,,
5,0.26052215538720985,0.26052215538720985,0,0,,
6,0.26052215538720985,0.26052215538720985,0,0,,
7,0.26052215538720985,0.26052215538720985,0,0,,
8,0.26052215538720985,0.26052215538720985,0,0,,
9,0.26052215538720985,0.26052215538720985,0,0,,
10,0.26052215538720985,1.0,1,0,0.0,0.26052215538720985
