feature_name,raw_feature,coefficient,abs_coefficient,selected
num__TyG,TyG,0.49219140266364275,0.49219140266364275,1
num__BMXWAIST,BMXWAIST,0.4916412128399893,0.4916412128399893,1
num__BMXBMI,BMXBMI,0.38568176793745834,0.38568176793745834,1
num__ALT_AST_ratio,ALT_AST_ratio,0.3252342339686352,0.3252342339686352,1
num__RIDAGEYR,RIDAGEYR,0.25844874315148425,0.25844874315148425,1
num__BRI,BRI,0.1960615610307637,0.1960615610307637,1
num__LBXGLU,LBXGLU,0.10305789710616606,0.10305789710616606,1
num__LBXSTB,LBXSTB,0.08921679043233038,0.08921679043233038,1
num__BPXDI1,BPXDI1,0.040659234106072605,0.040659234106072605,1
num__BPXSY1,BPXSY1,0.028211041776009332,0.028211041776009332,1
num__TC_HDL_ratio,TC_HDL_ratio,0.005589734320882966,0.005589734320882966,1
num__LBXSUA,LBXSUA,0.002980736475717037,0.002980736475717037,1
num__BMXWT,BMXWT,0.0,0.0,0
num__BMXHT,BMXHT,0.0,0.0,0
num__LBXSATSI,LBXSATSI,0.0,0.0,0
num__LBXSASSI,LBXSASSI,0.0,0.0,0
num__LBXSGTSI,LBXSGTSI,0.0,0.0,0
num__LBXSAL,LBXSAL,0.0,0.0,0
num__LBXGH,LBXGH,0.0,0.0,0
num__LBDHDD,LBDHDD,0.0,0.0,0
num__LBXTR,LBXTR,0.0,0.0,0
num__LBDLDL,LBDLDL,0.0,0.0,0
cat__RIAGENDR_1.0,RIAGENDR,0.0,0.0,0
cat__RIAGENDR_2.0,RIAGENDR,0.0,0.0,0
cat__ALQ111_1.0,ALQ111,0.0,0.0,0
cat__ALQ111_2.0,ALQ111,0.0,0.0,0
cat__ALQ111_missing,ALQ111,0.0,0.0,0
cat__SMQ020_1.0,SMQ020,0.0,0.0,0
cat__SMQ020_2.0,SMQ020,0.0,0.0,0
