feature,中文含义,特征值说明_中文,mlp_weight_abs_importance,rf_importance,perm_roc_auc,perm_pr_auc,perm_accuracy,perm_balanced_accuracy,perm_trusted_accuracy,perm_drop_roc_auc,perm_drop_pr_auc,perm_drop_accuracy,perm_drop_balanced_accuracy,perm_drop_trusted_accuracy,combined_mlp_perm
RIDAGEYR,年龄（岁，调查时）,连续数值，单位：岁（调查时年龄）,135.17113729242033,0.10746547,0.8516837899543379,0.6435797610144103,0.8552123552123552,0.756021689497717,0.8025638383073134,0.04628995433789951,0.04379101621001169,-0.0038610038610038533,0.048801369863013644,0.024869787950547506,0.9631987348985842
LBXSLDSI,乳酸脱氢酶 LDH（U/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用,128.66142241855277,0.032815497,0.8646974885844749,0.5910751209875816,0.8127413127413128,0.7717751141552511,0.7917286419657447,0.03327625570776249,0.09629565623684033,0.03861003861003853,0.03304794520547949,0.035704984292116215,0.7794880105884529
LBXSASSI,天冬氨酸氨基转移酶 AST（U/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用,141.71519387667297,0.027530188,0.8842180365296803,0.6318187974489895,0.8359073359073359,0.780365296803653,0.8071819853703126,0.013755707762557079,0.05555197977543247,0.015444015444015413,0.024457762557077656,0.020251640887548272,0.7362084264787561
BMXBMI,体质指数 BMI（kg/m²）,体格测量连续值；单位见「中文含义」列（BMX Codebook）,140.79606233855185,0.013440187,0.8898687214611872,0.6722183052327703,0.8455598455598455,0.7911815068493151,0.8174673558001179,0.00810502283105019,0.015152471991651706,0.00579150579150578,0.013641552511415522,0.00996627045774301,0.6222400719572183
MCQ160D,是否曾被医生告知患心绞痛,1=是 2=否 7=拒绝 9=不知道,140.07215398614133,0.048663512,0.8973744292237443,0.6820726116953484,0.8474903474903475,0.7923230593607307,0.8189787229410337,0.0005993150684930892,0.005298165529073584,0.0038610038610038533,0.012499999999999956,0.00845490331682719,0.6080635070071583
LBDLDLSI,空腹 LDL-C（mmol/L，SI）,连续数值，单位：mmol/L,124.27995368862348,0.02207493,0.8901541095890411,0.6288741977278002,0.8378378378378378,0.7917237442922374,0.8141283120035367,0.007819634703196354,0.05849657949662179,0.013513513513513487,0.013099315068493267,0.01330531425432413,0.5600878139891929
LBDSCRSI,血清肌酐（μmol/L，SI）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用,117.57364654817344,0.021910781,0.8911244292237444,0.6735965469948335,0.8532818532818532,0.7906392694063926,0.8207670450432382,0.006849315068493067,0.013774230229588458,-0.0019305019305019266,0.014183789954338,0.006666581214622713,0.5482180354997546
LBXLYPCT,淋巴细胞百分比（%）,连续型实验室结果；单位与含义见「中文含义」列；缺失多为未测/不适用,117.61155261647602,0.013965525,0.8926084474885845,0.663752359453438,0.8494208494208494,0.7934646118721461,0.8204898034356918,0.005365296803652941,0.023618417770983946,0.0019305019305019266,0.0113584474885845,0.006943822822169099,0.5194005619899554
SMQ040,您现在吸烟吗,SMQ 编码：吸烟状态等多为 1=是 2=否；支数、包年等多为数值；品牌等题为分类；7/9 或 77/99 等常为拒绝/不知道；详见 Codebook,138.7140541491797,0.023102133,0.8941780821917809,0.6844428687171149,0.8552123552123552,0.8019977168949772,0.8277506489789943,0.003795662100456565,0.0029279085073070643,-0.0038610038610038533,0.0028253424657533888,-0.0003170227211334309,0.5042868209223271
MCQ160E,是否曾被医生告知患心肌梗死,1=是 2=否 7=拒绝 9=不知道,127.2310016157223,0.07630445,0.8912100456621004,0.6747433689060681,0.8494208494208494,0.7985730593607305,0.8232125164932285,0.006763698630137038,0.01262740831835385,0.0019305019305019266,0.006250000000000089,0.004221109764632414,0.5000249015860717
