epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.991,1.24373,3.77694,1.07877,0.112,0.32037,0.07497,0.03837,1.79486,5.14056,1.47773,0.000553757,0.000553757,0.000553757
2,414.536,1.39823,2.36732,1.14619,0.1626,0.17889,0.10757,0.06855,1.60407,3.2001,1.23199,0.00109844,0.00109844,0.00109844
3,571.611,1.43419,2.30661,1.14242,0.18503,0.22597,0.1236,0.06865,1.78794,3.11384,1.43519,0.00163212,0.00163212,0.00163212
4,731.953,1.35362,2.14235,1.12129,0.1523,0.35725,0.15221,0.09892,1.44965,2.97405,1.12272,0.00161749,0.00161749,0.00161749
5,910.786,1.28266,2.0819,1.08351,0.22404,0.25921,0.17864,0.1232,1.41703,2.50304,1.16036,0.00160099,0.00160099,0.00160099
6,1099.06,1.20493,1.98338,1.05738,0.27865,0.2682,0.21714,0.13971,1.42161,2.23252,1.12299,0.00158448,0.00158448,0.00158448
7,1282.71,1.18049,1.91247,1.03494,0.30618,0.31636,0.26536,0.19518,1.24112,2.00338,1.03589,0.00156798,0.00156798,0.00156798
8,1464.09,1.1703,1.9395,1.04213,0.45882,0.26808,0.31553,0.23157,1.19057,2.04651,1.02587,0.00155148,0.00155148,0.00155148
9,1640.18,1.13508,1.86431,1.02423,0.30477,0.38723,0.31407,0.22515,1.13435,1.85858,0.9699,0.00153497,0.00153497,0.00153497
10,1803.85,1.09714,1.8188,1.00156,0.35488,0.34894,0.32095,0.23512,1.14064,1.91019,0.98524,0.00151847,0.00151847,0.00151847
11,1976.38,1.10348,1.76738,0.99495,0.39331,0.37552,0.35524,0.25667,1.14627,1.85362,1.00458,0.00150197,0.00150197,0.00150197
12,2162.36,1.07485,1.74113,0.99398,0.3923,0.43044,0.36883,0.27413,1.10013,1.65164,0.95691,0.00148546,0.00148546,0.00148546
13,2327.41,1.05764,1.70481,0.98613,0.38532,0.38411,0.36527,0.27976,1.04794,1.95836,0.94342,0.00146896,0.00146896,0.00146896
14,2487.82,1.05984,1.71753,0.98468,0.38071,0.41147,0.37933,0.29505,1.09324,1.68021,0.94325,0.00145246,0.00145246,0.00145246
15,2651.01,1.03161,1.65192,0.9805,0.30586,0.41176,0.31864,0.24625,1.06443,2.66304,0.94079,0.00143595,0.00143595,0.00143595
16,2814.45,1.02817,1.66408,0.97427,0.39111,0.4657,0.40494,0.30772,0.98042,1.73991,0.91359,0.00141945,0.00141945,0.00141945
17,2983.7,1.0067,1.60787,0.96522,0.47401,0.47823,0.46318,0.34902,1.01452,1.49308,0.9126,0.00140295,0.00140295,0.00140295
18,3151.73,1.00041,1.62298,0.96613,0.48649,0.49463,0.50131,0.37666,0.99612,1.42531,0.91835,0.00138644,0.00138644,0.00138644
19,3308.1,0.97082,1.5761,0.96611,0.49873,0.51109,0.50716,0.38296,1.01316,1.4013,0.91929,0.00136994,0.00136994,0.00136994
20,3464.79,0.99081,1.57626,0.96243,0.5592,0.50157,0.53082,0.41261,0.96812,1.38983,0.90706,0.00135344,0.00135344,0.00135344
21,3622.26,0.97931,1.53494,0.95592,0.47142,0.53303,0.4962,0.37982,0.98827,1.42325,0.91846,0.00133693,0.00133693,0.00133693
22,3778.82,0.97763,1.54675,0.9603,0.55077,0.55189,0.559,0.41963,0.96724,1.30254,0.89404,0.00132043,0.00132043,0.00132043
23,3935.69,0.95565,1.47657,0.95169,0.47576,0.56989,0.53571,0.40676,0.93859,1.41558,0.89489,0.00130393,0.00130393,0.00130393
24,4092.42,0.95264,1.50917,0.95259,0.5649,0.54922,0.57214,0.4323,0.95122,1.33111,0.88725,0.00128742,0.00128742,0.00128742
25,4249.72,0.94333,1.4845,0.94516,0.55609,0.53686,0.55973,0.41859,0.98579,1.28858,0.89786,0.00127092,0.00127092,0.00127092
26,4406.07,0.93933,1.48997,0.94613,0.54694,0.54688,0.53836,0.40983,0.96247,1.46835,0.88634,0.00125442,0.00125442,0.00125442
27,4562.82,0.93403,1.45569,0.93789,0.57076,0.58104,0.5844,0.45021,0.93712,1.22356,0.88759,0.00123791,0.00123791,0.00123791
28,4719.97,0.92543,1.44954,0.94447,0.54101,0.58281,0.57315,0.44325,0.93381,1.24294,0.88007,0.00122141,0.00122141,0.00122141
29,4877.1,0.90688,1.43999,0.9377,0.55675,0.59604,0.58831,0.44274,0.92596,1.32297,0.88287,0.00120491,0.00120491,0.00120491
30,5034.07,0.90058,1.44326,0.93547,0.54014,0.57919,0.5735,0.44613,0.89332,1.34516,0.87941,0.0011884,0.0011884,0.0011884
31,5190.52,0.92771,1.38766,0.94023,0.60522,0.57831,0.62327,0.47416,0.89973,1.22047,0.8631,0.0011719,0.0011719,0.0011719
32,5347.02,0.89567,1.37563,0.93211,0.62228,0.56798,0.63132,0.4734,0.92519,1.19088,0.87744,0.0011554,0.0011554,0.0011554
33,5504.59,0.89852,1.39045,0.93379,0.65202,0.62557,0.66984,0.51966,0.87313,1.08174,0.86965,0.00113889,0.00113889,0.00113889
34,5664.44,0.90291,1.39099,0.9357,0.57373,0.60102,0.61141,0.47548,0.88797,1.20473,0.86681,0.00112239,0.00112239,0.00112239
35,5821.88,0.91139,1.33864,0.92898,0.62147,0.61223,0.65411,0.50848,0.89812,1.06604,0.86498,0.00110589,0.00110589,0.00110589
36,5978.73,0.89092,1.31533,0.9271,0.63985,0.62724,0.66773,0.52182,0.86708,1.03802,0.85869,0.00108938,0.00108938,0.00108938
37,6136.12,0.89477,1.30246,0.92912,0.58554,0.59771,0.61601,0.48414,0.88029,1.17877,0.86221,0.00107288,0.00107288,0.00107288
38,6294.45,0.88747,1.28508,0.92888,0.5936,0.61281,0.63339,0.49802,0.85251,1.36154,0.85571,0.00105638,0.00105638,0.00105638
39,6452.96,0.87447,1.30236,0.92031,0.6149,0.61752,0.64806,0.50636,0.86762,1.0925,0.85525,0.00103987,0.00103987,0.00103987
40,6610.54,0.8673,1.25501,0.92295,0.6278,0.59428,0.65436,0.51522,0.84001,1.11056,0.857,0.00102337,0.00102337,0.00102337
41,6767.56,0.87557,1.28702,0.92627,0.64244,0.63758,0.68883,0.5375,0.84402,1.01945,0.85339,0.00100687,0.00100687,0.00100687
42,6929.44,0.85121,1.25297,0.92335,0.6406,0.65768,0.68231,0.54356,0.82296,1.10953,0.85143,0.000990365,0.000990365,0.000990365
43,7086.52,0.86062,1.24575,0.91531,0.56746,0.62605,0.62386,0.50254,0.83574,1.26605,0.85091,0.000973861,0.000973861,0.000973861
44,7247.28,0.85006,1.23555,0.91118,0.64154,0.63881,0.67689,0.52127,0.88157,1.04563,0.85509,0.000957358,0.000957358,0.000957358
45,7410.61,0.84343,1.20133,0.91502,0.65782,0.64876,0.69596,0.54433,0.86031,0.98948,0.85706,0.000940855,0.000940855,0.000940855
46,7568.45,0.84224,1.19759,0.91105,0.68342,0.65602,0.71872,0.56203,0.82878,0.97283,0.8582,0.000924352,0.000924352,0.000924352
47,7728.48,0.82179,1.21199,0.91291,0.6982,0.6651,0.7256,0.57672,0.80959,0.90871,0.83644,0.000907848,0.000907848,0.000907848
48,7887.05,0.84058,1.1395,0.90974,0.6784,0.65811,0.69726,0.55023,0.84518,1.00668,0.84302,0.000891345,0.000891345,0.000891345
49,8061.15,0.83134,1.1613,0.90558,0.69034,0.67846,0.73422,0.57786,0.80763,0.94955,0.84173,0.000874842,0.000874842,0.000874842
50,8246.75,0.81388,1.15482,0.90872,0.72339,0.67739,0.7521,0.59989,0.81873,0.87682,0.8396,0.000858338,0.000858338,0.000858338
51,8436.47,0.82464,1.13645,0.90513,0.71645,0.67978,0.75438,0.59686,0.80927,0.8772,0.83884,0.000841835,0.000841835,0.000841835
52,8617.08,0.8171,1.11912,0.90589,0.64006,0.67273,0.68527,0.55733,0.78525,1.14162,0.84183,0.000825332,0.000825332,0.000825332
53,8774.2,0.81685,1.12648,0.90432,0.69002,0.689,0.73964,0.58599,0.81201,0.92024,0.84541,0.000808828,0.000808828,0.000808828
54,8931.36,0.81306,1.09889,0.90504,0.70514,0.66791,0.72385,0.58268,0.79447,0.9478,0.83432,0.000792325,0.000792325,0.000792325
55,9088.35,0.8018,1.12366,0.90212,0.72817,0.70194,0.76542,0.60933,0.8027,0.85852,0.83913,0.000775822,0.000775822,0.000775822
56,9245.59,0.80922,1.08396,0.89781,0.72693,0.70184,0.76502,0.61365,0.80749,0.83846,0.84172,0.000759318,0.000759318,0.000759318
57,9402.65,0.81624,1.10693,0.90729,0.72973,0.67132,0.74391,0.59042,0.80396,0.91175,0.83905,0.000742815,0.000742815,0.000742815
58,9559.33,0.79155,1.08801,0.90139,0.70463,0.70237,0.76543,0.62138,0.77218,0.85737,0.83041,0.000726312,0.000726312,0.000726312
59,9716.54,0.81288,1.06423,0.90023,0.71121,0.71698,0.7654,0.61671,0.79111,0.86519,0.83163,0.000709809,0.000709809,0.000709809
60,9873.32,0.79685,1.05073,0.89561,0.73084,0.68228,0.76033,0.61202,0.78778,0.85924,0.83239,0.000693305,0.000693305,0.000693305
61,10030.4,0.80784,1.05849,0.89618,0.70928,0.72781,0.7648,0.61031,0.80419,0.82907,0.83339,0.000676802,0.000676802,0.000676802
62,10187.1,0.78103,1.03801,0.90018,0.70318,0.69708,0.76508,0.60769,0.79738,0.85156,0.82791,0.000660299,0.000660299,0.000660299
63,10343.9,0.77725,1.02502,0.89668,0.72605,0.70576,0.76904,0.62253,0.76301,0.85565,0.82624,0.000643795,0.000643795,0.000643795
64,10501,0.77603,1.03077,0.89786,0.74685,0.72202,0.79119,0.63611,0.78332,0.79786,0.8263,0.000627292,0.000627292,0.000627292
65,10658.1,0.78783,1.02719,0.89365,0.75534,0.73657,0.79819,0.64719,0.76745,0.77507,0.82649,0.000610789,0.000610789,0.000610789
66,10815.6,0.77689,0.99402,0.89799,0.75262,0.72817,0.78731,0.63708,0.77556,0.79657,0.82658,0.000594286,0.000594286,0.000594286
67,10972.4,0.7645,0.99962,0.89423,0.77262,0.71436,0.79265,0.63708,0.78334,0.78896,0.82272,0.000577782,0.000577782,0.000577782
68,11129.5,0.76331,1.0041,0.89423,0.75863,0.72611,0.79624,0.6454,0.76841,0.77578,0.81938,0.000561279,0.000561279,0.000561279
69,11286.4,0.76775,0.98621,0.88693,0.76413,0.70725,0.77792,0.63504,0.74515,0.85444,0.81839,0.000544776,0.000544776,0.000544776
70,11443.4,0.78272,0.97765,0.8905,0.74356,0.74716,0.79304,0.64234,0.7594,0.79156,0.82282,0.000528272,0.000528272,0.000528272
71,11600.2,0.75452,0.97483,0.88713,0.74658,0.7172,0.78024,0.63107,0.76645,0.82941,0.81952,0.000511769,0.000511769,0.000511769
72,11756.9,0.7562,0.95584,0.88986,0.74647,0.73636,0.79296,0.64703,0.73926,0.80189,0.81916,0.000495266,0.000495266,0.000495266
73,11914,0.76444,0.95107,0.88352,0.74205,0.73662,0.78869,0.64684,0.73842,0.81355,0.81979,0.000478762,0.000478762,0.000478762
74,12071.1,0.75466,0.93563,0.88338,0.77059,0.73011,0.79576,0.64652,0.74775,0.79718,0.81455,0.000462259,0.000462259,0.000462259
75,12228,0.75042,0.92479,0.88552,0.78039,0.73115,0.80663,0.65622,0.74484,0.78285,0.81526,0.000445756,0.000445756,0.000445756
76,12384.8,0.74363,0.93712,0.88864,0.78028,0.71558,0.80286,0.64864,0.75642,0.79001,0.81614,0.000429253,0.000429253,0.000429253
77,12541.9,0.74448,0.91878,0.88709,0.75158,0.76171,0.80923,0.66106,0.73283,0.74502,0.81322,0.000412749,0.000412749,0.000412749
78,12698.8,0.73698,0.92082,0.88442,0.76192,0.74509,0.8087,0.65903,0.74098,0.75131,0.81652,0.000396246,0.000396246,0.000396246
79,12855.9,0.75898,0.89321,0.8849,0.76042,0.74055,0.80542,0.65268,0.74425,0.77206,0.81079,0.000379743,0.000379743,0.000379743
80,13012.7,0.72589,0.90449,0.88234,0.76607,0.75943,0.81971,0.66601,0.74669,0.74243,0.81504,0.000363239,0.000363239,0.000363239
81,13170.1,0.7331,0.89044,0.88165,0.78078,0.72865,0.80464,0.65476,0.74895,0.79016,0.81391,0.000346736,0.000346736,0.000346736
82,13327,0.72294,0.88817,0.88008,0.78028,0.72813,0.80623,0.65264,0.75385,0.77256,0.81637,0.000330233,0.000330233,0.000330233
83,13484.6,0.72899,0.89007,0.88079,0.78212,0.73112,0.81215,0.66189,0.7304,0.7657,0.81136,0.000313729,0.000313729,0.000313729
84,13643.3,0.72071,0.88797,0.88066,0.76887,0.74811,0.81999,0.67063,0.73282,0.75199,0.81309,0.000297226,0.000297226,0.000297226
85,13810.3,0.7174,0.87595,0.87974,0.78436,0.73325,0.81072,0.66234,0.74311,0.76881,0.81263,0.000280723,0.000280723,0.000280723
86,13975.5,0.72308,0.88189,0.88224,0.77258,0.74706,0.81341,0.66506,0.73719,0.76341,0.81228,0.00026422,0.00026422,0.00026422
87,14132.6,0.69375,0.86602,0.87911,0.77958,0.72894,0.80819,0.66002,0.74056,0.77752,0.8123,0.000247716,0.000247716,0.000247716
88,14289.6,0.71739,0.86481,0.87661,0.8101,0.71138,0.81182,0.66517,0.72723,0.77305,0.80983,0.000231213,0.000231213,0.000231213
89,14468.6,0.71996,0.86412,0.88125,0.77481,0.74221,0.81144,0.66253,0.73914,0.77417,0.80873,0.00021471,0.00021471,0.00021471
90,14681.8,0.7106,0.86307,0.87858,0.78838,0.74728,0.81989,0.66956,0.73875,0.75099,0.80881,0.000198206,0.000198206,0.000198206
91,14828.5,0.78867,0.74561,0.88478,0.78177,0.72509,0.81011,0.65695,0.77748,0.76174,0.82266,0.000181703,0.000181703,0.000181703
92,14975.5,0.76933,0.66609,0.87377,0.79793,0.72981,0.81539,0.67145,0.74484,0.74881,0.81282,0.0001652,0.0001652,0.0001652
93,15122.4,0.75801,0.63643,0.86556,0.79451,0.73727,0.82114,0.67776,0.74082,0.74661,0.81556,0.000148696,0.000148696,0.000148696
94,15269,0.75918,0.61854,0.85928,0.78808,0.74426,0.82206,0.67662,0.74884,0.73671,0.81519,0.000132193,0.000132193,0.000132193
95,15415.5,0.76153,0.5921,0.86355,0.79592,0.7442,0.8213,0.67695,0.74802,0.74149,0.81176,0.00011569,0.00011569,0.00011569
96,15561.7,0.74862,0.59382,0.8675,0.77733,0.75612,0.82073,0.68015,0.73832,0.74785,0.81219,9.91865e-05,9.91865e-05,9.91865e-05
97,15708.2,0.74576,0.59372,0.8655,0.77597,0.76712,0.82474,0.68113,0.738,0.74475,0.81018,8.26832e-05,8.26832e-05,8.26832e-05
98,15854.9,0.73598,0.57184,0.85272,0.77623,0.75966,0.82351,0.67921,0.7413,0.74765,0.80881,6.61799e-05,6.61799e-05,6.61799e-05
99,16001.7,0.74026,0.5775,0.85595,0.78554,0.75798,0.82457,0.68019,0.73813,0.74747,0.80944,4.96766e-05,4.96766e-05,4.96766e-05
100,16154.3,0.73214,0.56443,0.8502,0.79294,0.75225,0.82445,0.67859,0.74552,0.7514,0.81003,3.31733e-05,3.31733e-05,3.31733e-05
