epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,149.201,0.92169,1.55259,2.33351,1.08317,0,0.1587,0.29054,0.11493,0.06388,0.14705,0.24989,0.09345,0.04733,1.35972,1.28819,7.20422,1.41649,0,0.000474696,0.000474696,0.000474696
2,275.189,1.02519,1.44349,1.94892,1.135,0,0.24606,0.30545,0.16344,0.10008,0.21251,0.2421,0.11861,0.0561,1.22738,1.61631,3.57123,1.277,0,0.000941615,0.000941615,0.000941615
3,399.098,0.98472,1.39366,1.84451,1.11087,0,0.11205,0.44311,0.11521,0.06717,0.1018,0.40331,0.10445,0.04938,1.23753,1.21058,6.37983,1.29035,0,0.0013991,0.0013991,0.0013991
4,522.161,0.9487,1.30861,1.80024,1.08973,0,0.25789,0.24156,0.16757,0.12061,0.2564,0.18991,0.13483,0.08825,1.16924,1.16807,3.46863,1.23362,0,0.00138656,0.00138656,0.00138656
5,644.593,0.90256,1.25208,1.73604,1.06237,0,0.27264,0.29719,0.18956,0.12233,0.22828,0.24822,0.13934,0.07225,1.10769,1.29495,2.30254,1.16561,0,0.00137241,0.00137241,0.00137241
6,766.029,0.87031,1.20181,1.67796,1.04236,0,0.25655,0.19052,0.1571,0.10056,0.22123,0.18395,0.13149,0.07228,1.11698,1.12986,2.57938,1.16874,0,0.00135826,0.00135826,0.00135826
7,888.594,0.84254,1.15052,1.63442,1.03459,0,0.31144,0.39033,0.28901,0.18653,0.29172,0.35352,0.25113,0.12745,1.02323,1.22594,2.34476,1.09454,0,0.00134412,0.00134412,0.00134412
8,1009.79,0.83162,1.15821,1.63651,1.03107,0,0.32829,0.3322,0.28334,0.19676,0.30203,0.29369,0.23417,0.12283,0.92331,1.03782,1.88978,1.01889,0,0.00132997,0.00132997,0.00132997
9,1131.47,0.79723,1.11894,1.59862,1.01469,0,0.33825,0.38682,0.36262,0.26227,0.34606,0.3207,0.3067,0.18064,0.89135,0.88493,3.00156,1.00848,0,0.00131582,0.00131582,0.00131582
10,1252.56,0.78692,1.10327,1.55723,1.00731,0,0.39776,0.44813,0.4096,0.2982,0.35595,0.3965,0.33186,0.18962,0.80887,0.88023,2.09866,0.96847,0,0.00130168,0.00130168,0.00130168
11,1374.14,0.7451,1.07384,1.52269,0.99106,0,0.42461,0.44359,0.40801,0.29886,0.40622,0.37998,0.34572,0.20105,0.82718,0.99441,1.60889,0.97603,0,0.00128753,0.00128753,0.00128753
12,1495.32,0.75555,1.09326,1.50293,0.99913,0,0.49214,0.4981,0.47008,0.34145,0.47001,0.47437,0.43649,0.26433,0.79114,0.76307,1.90376,0.95692,0,0.00127338,0.00127338,0.00127338
13,1617.2,0.73957,1.04008,1.50402,0.9929,0,0.49922,0.47528,0.48441,0.35449,0.46619,0.42977,0.43146,0.25201,0.78978,0.82684,1.5444,0.94974,0,0.00125923,0.00125923,0.00125923
14,1738.63,0.71643,1.00298,1.46042,0.97668,0,0.43624,0.4549,0.43631,0.33232,0.43186,0.41319,0.39464,0.23248,0.74927,0.83633,1.8009,0.9445,0,0.00124509,0.00124509,0.00124509
15,1860.26,0.71812,1.00645,1.42136,0.98012,0,0.47942,0.45433,0.46774,0.34219,0.45426,0.43002,0.43351,0.26166,0.80689,0.82638,2.22126,0.97987,0,0.00123094,0.00123094,0.00123094
16,1981.4,0.71107,1.0252,1.42579,0.97771,0,0.5592,0.49402,0.53329,0.38505,0.51716,0.4209,0.44179,0.25122,0.75901,0.81953,1.40371,0.93949,0,0.00121679,0.00121679,0.00121679
17,2103.08,0.71295,1.01601,1.40979,0.97519,0,0.54151,0.56172,0.57669,0.44204,0.52491,0.51956,0.52836,0.3199,0.71228,0.74864,1.31401,0.93483,0,0.00120265,0.00120265,0.00120265
18,2224.14,0.68616,1.00873,1.39552,0.97089,0,0.47964,0.51837,0.50435,0.37861,0.4546,0.4492,0.44109,0.26286,0.74796,0.84499,2.07135,0.94634,0,0.0011885,0.0011885,0.0011885
19,2345.45,0.68796,0.94857,1.38,0.96907,0,0.54699,0.54292,0.55755,0.40786,0.51166,0.51222,0.50844,0.271,0.74325,1.1165,1.45644,0.94184,0,0.00117435,0.00117435,0.00117435
