epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,128.084,0.96992,1.70971,2.4082,1.09802,0,0.18627,0.28725,0.14357,0.08947,0.17397,0.25292,0.12191,0.07242,1.23839,1.09672,7.7707,1.32539,0,0.000474696,0.000474696,0.000474696
2,250.88,1.00931,1.38803,1.97547,1.12091,0,0.22032,0.25898,0.1554,0.10501,0.22049,0.22899,0.13111,0.07655,1.15482,1.24357,3.86276,1.22229,0,0.000941615,0.000941615,0.000941615
3,373.098,0.98304,1.37408,1.87969,1.10782,0,0.1779,0.31032,0.13617,0.07655,0.1603,0.28483,0.11232,0.0512,1.39919,1.79132,4.449,1.44474,0,0.0013991,0.0013991,0.0013991
4,495.003,0.95151,1.28815,1.81128,1.08742,0,0.18453,0.33601,0.16121,0.1156,0.17562,0.2837,0.13994,0.08868,1.00296,1.04658,5.21284,1.11432,0,0.00138656,0.00138656,0.00138656
5,615.505,0.88229,1.22165,1.76566,1.05169,0,0.27304,0.33357,0.22028,0.15413,0.2451,0.28305,0.1714,0.09642,0.96602,1.048,2.20152,1.06153,0,0.00137241,0.00137241,0.00137241
6,735.936,0.85162,1.18351,1.70749,1.03424,0,0.25392,0.36416,0.22693,0.15795,0.23795,0.34129,0.20167,0.11441,0.93084,0.96393,2.45093,1.0373,0,0.00135826,0.00135826,0.00135826
7,856.293,0.82845,1.13061,1.66407,1.02539,0,0.25422,0.44123,0.28713,0.21388,0.24435,0.41018,0.26006,0.15629,0.85125,0.83233,2.73339,0.99651,0,0.00134412,0.00134412,0.00134412
8,976.258,0.81674,1.13026,1.63352,1.01995,0,0.28008,0.42712,0.28596,0.19894,0.2635,0.37893,0.2441,0.13092,0.91501,0.96928,2.02309,1.02545,0,0.00132997,0.00132997,0.00132997
9,1096.77,0.79306,1.08805,1.60611,1.01129,0,0.31385,0.43775,0.32048,0.23579,0.2943,0.39448,0.27981,0.1607,0.82115,0.86451,2.45921,0.97053,0,0.00131582,0.00131582,0.00131582
10,1217.78,0.76776,1.06784,1.56411,0.99535,0,0.17091,0.49099,0.25136,0.18937,0.16028,0.44352,0.22504,0.13339,0.79611,0.88311,5.99684,0.9748,0,0.00130168,0.00130168,0.00130168
11,1337.81,0.73001,1.06545,1.51818,0.98202,0,0.24037,0.44588,0.29368,0.22458,0.2414,0.38473,0.26497,0.16359,0.7919,0.94567,4.20712,0.95196,0,0.00128753,0.00128753,0.00128753
12,1457.85,0.73392,1.0578,1.50986,0.98755,0,0.39188,0.4543,0.38413,0.28479,0.37951,0.41841,0.34637,0.21638,0.76852,0.74087,2.56861,0.95472,0,0.00127338,0.00127338,0.00127338
