epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,169.47,1.13141,1.64528,4.85064,0.00783,3.30547,0.13327,0.39859,0.13823,0.08367,0.11716,0.32418,0.08378,0.03759,1.42428,2.28069,4.77785,0.01528,0,0.000474696,0.000474696,0.000474696
2,333.799,1.37227,1.47777,2.28388,0.01137,2.35015,0.1138,0.36272,0.10768,0.04744,0.11939,0.31115,0.08763,0.03388,1.68097,1.66534,3.32696,0.01986,0,0.000941615,0.000941615,0.000941615
3,495.311,1.56581,1.56445,2.3284,0.01384,2.52341,0.13685,0.27987,0.10169,0.04915,0.11941,0.23793,0.07205,0.03085,1.74495,1.61255,2.63468,0.0219,0,0.0013991,0.0013991,0.0013991
4,656.112,1.55447,1.5084,2.29491,0.01365,2.48334,0.14672,0.23814,0.10247,0.06142,0.12901,0.20663,0.08434,0.05082,1.693,1.2249,2.63469,0.01749,0,0.00138656,0.00138656,0.00138656
5,818.267,1.49925,1.46279,2.28863,0.01232,2.45121,0.07632,0.16784,0.03837,0.01727,0.07312,0.14843,0.03245,0.01277,nan,nan,nan,nan,0,0.00137241,0.00137241,0.00137241
6,978.994,1.42046,1.37152,2.21227,0.01125,2.3872,0.12608,0.21659,0.09987,0.05757,0.11835,0.19767,0.08864,0.04186,1.72027,1.68008,2.6596,0.01916,0,0.00135826,0.00135826,0.00135826
7,1139.42,1.36326,1.30395,2.11058,0.01084,2.40484,0.17937,0.27115,0.15151,0.09791,0.17597,0.25781,0.13415,0.0786,1.42013,1.18377,2.27011,0.01464,0,0.00134412,0.00134412,0.00134412
8,1299.65,1.30988,1.30389,2.08655,0.0098,2.35832,0.26694,0.11318,0.13778,0.09054,0.26284,0.11036,0.11633,0.06013,1.42638,1.18106,2.43571,0.01297,0,0.00132997,0.00132997,0.00132997
9,1459.42,1.30875,1.2763,2.09855,0.00989,2.36423,0.17123,0.3179,0.14798,0.09414,0.17071,0.28777,0.13054,0.06934,1.42422,1.10387,2.25816,0.01456,0,0.00131582,0.00131582,0.00131582
10,1619.4,1.30607,1.24706,2.0422,0.00977,2.34275,0.19665,0.37088,0.17995,0.12709,0.19827,0.33066,0.15546,0.09155,1.22472,1.08214,2.15468,0.01079,0,0.00130168,0.00130168,0.00130168
11,1779.62,1.26389,1.2654,2.04402,0.00972,2.36558,0.16896,0.26458,0.14285,0.08355,0.16477,0.231,0.12255,0.0587,1.50294,1.4873,2.39844,0.0164,0,0.00128753,0.00128753,0.00128753
12,1939.66,1.27693,1.25003,2.07019,0.01001,2.37633,0.17572,0.33905,0.1573,0.11001,0.17769,0.31057,0.1406,0.08324,1.25687,0.93345,2.23486,0.01138,0,0.00127338,0.00127338,0.00127338
13,2100.29,1.23015,1.21187,2.05453,0.00931,2.38976,0.1827,0.34256,0.16282,0.10865,0.17469,0.31683,0.14008,0.0784,1.29347,1.0907,2.22706,0.01166,0,0.00125923,0.00125923,0.00125923
14,2261.24,1.25091,1.18162,2.01257,0.0095,2.31881,0.19724,0.28494,0.16392,0.11127,0.19918,0.26132,0.14729,0.08743,1.27641,1.05004,2.16869,0.01156,0,0.00124509,0.00124509,0.00124509
15,2421.52,1.22231,1.18493,1.97566,0.00905,2.30499,0.23333,0.33198,0.19935,0.13587,0.23224,0.30519,0.17856,0.10606,1.22218,0.8917,2.15521,0.01085,0,0.00123094,0.00123094,0.00123094
16,2581.67,1.20418,1.21134,1.98623,0.00902,2.27119,0.24239,0.34627,0.20679,0.14382,0.24232,0.31219,0.17771,0.1073,1.22904,1.02854,2.03457,0.01117,0,0.00121679,0.00121679,0.00121679
17,2742.24,1.18307,1.17061,1.95096,0.00835,2.23698,0.24038,0.33627,0.2075,0.14618,0.24585,0.31453,0.1926,0.12206,1.21321,0.96069,2.02009,0.01107,0,0.00120265,0.00120265,0.00120265
18,2902.05,1.18254,1.20202,1.95647,0.00893,2.21003,0.18605,0.34414,0.16735,0.10535,0.18819,0.30793,0.1442,0.07265,1.29624,1.12176,2.21517,0.0128,0,0.0011885,0.0011885,0.0011885
19,3062.2,1.1982,1.1492,1.9734,0.00923,2.29629,0.22827,0.36307,0.20724,0.14378,0.22523,0.32856,0.18163,0.0997,1.19909,0.90221,2.13323,0.01003,0,0.00117435,0.00117435,0.00117435
20,3222.13,1.21437,1.17952,1.95813,0.00904,2.19065,0.21421,0.38746,0.19439,0.1356,0.21234,0.35209,0.17832,0.10602,1.20462,1.00376,2.06104,0.01052,0,0.00116021,0.00116021,0.00116021
21,3382.1,1.14568,1.14634,1.95754,0.0081,2.31848,0.19323,0.36844,0.17107,0.11272,0.17363,0.30767,0.13814,0.06557,1.20257,0.98879,2.15208,0.01121,0,0.00114606,0.00114606,0.00114606
22,3541.97,1.162,1.12518,1.95743,0.00832,2.26834,0.23952,0.32554,0.21235,0.15146,0.24587,0.30324,0.191,0.1168,1.19583,0.92542,2.00098,0.01007,0,0.00113191,0.00113191,0.00113191
23,3702.24,1.14489,1.14668,1.91648,0.00816,2.17208,0.19594,0.38072,0.18972,0.13033,0.19869,0.33529,0.16673,0.09488,1.18514,0.83886,2.07264,0.00962,0,0.00111776,0.00111776,0.00111776
24,3862.47,1.13147,1.11217,1.89625,0.00789,2.15125,0.24293,0.32708,0.21173,0.15188,0.24321,0.29764,0.18817,0.11881,1.13186,1.00276,2.0727,0.00942,0,0.00110362,0.00110362,0.00110362
25,4022.5,1.13755,1.13803,1.89761,0.00818,2.08254,0.24841,0.34696,0.2228,0.15742,0.24285,0.31012,0.19761,0.11167,1.12928,0.83035,1.98245,0.00966,0,0.00108947,0.00108947,0.00108947
26,4182.91,1.09667,1.1147,1.88327,0.00775,2.08738,0.23191,0.3625,0.21345,0.15805,0.22937,0.3291,0.19361,0.12879,1.16203,1.02703,2.14635,0.00994,0,0.00107532,0.00107532,0.00107532
27,4342.65,1.13097,1.14772,1.8703,0.00783,2.0676,0.27579,0.33556,0.25608,0.18411,0.28652,0.3154,0.22997,0.13639,1.12138,0.88705,1.93258,0.00975,0,0.00106118,0.00106118,0.00106118
28,4502.89,1.09015,1.11009,1.8451,0.00771,2.06893,0.28664,0.35284,0.25564,0.18526,0.27525,0.32099,0.22627,0.13449,1.07792,0.88986,1.87336,0.0082,0,0.00104703,0.00104703,0.00104703
29,4663.47,1.07839,1.05984,1.81618,0.00746,1.9595,0.28087,0.35365,0.27224,0.1971,0.2792,0.30232,0.23702,0.14003,1.10883,0.8652,1.95228,0.00897,0,0.00103288,0.00103288,0.00103288
30,4823.53,1.07255,1.07216,1.83844,0.00727,2.04961,0.25975,0.3614,0.24721,0.17254,0.2609,0.31421,0.21817,0.1169,1.14897,1.0101,1.97128,0.01033,0,0.00101873,0.00101873,0.00101873
31,4983.82,1.06053,1.08932,1.81145,0.00725,2.01669,0.24769,0.39077,0.26205,0.19483,0.25014,0.34309,0.23662,0.14187,1.0707,0.91035,1.91408,0.0083,0,0.00100459,0.00100459,0.00100459
32,5144.37,1.05059,1.07038,1.81464,0.00702,2.01736,0.29482,0.29162,0.27312,0.21538,0.30761,0.27619,0.25034,0.17006,1.06169,0.88455,1.92153,0.00785,0,0.00099044,0.00099044,0.00099044
33,5304.26,1.04781,1.02085,1.76114,0.00701,1.92642,0.32539,0.36033,0.30172,0.22237,0.32096,0.32006,0.26205,0.15238,1.05278,0.96611,1.785,0.00812,0,0.000976293,0.000976293,0.000976293
34,5464.28,1.03983,1.04405,1.74762,0.00698,1.90713,0.32943,0.37897,0.32854,0.25134,0.33846,0.33404,0.29371,0.19498,1.04085,0.92452,1.76862,0.00791,0,0.000962146,0.000962146,0.000962146
35,5624.39,1.02195,1.00502,1.76602,0.00696,1.96544,0.34139,0.35802,0.32317,0.24815,0.34231,0.33813,0.29231,0.18139,1.02838,0.80816,1.77735,0.00785,0,0.000947999,0.000947999,0.000947999
36,5784.14,1.02772,1.0331,1.7571,0.00681,1.99603,0.33606,0.3824,0.33419,0.2514,0.33504,0.34441,0.30553,0.19162,1.03206,0.84593,1.79666,0.00818,0,0.000933851,0.000933851,0.000933851
37,5943.32,1.03335,1.01679,1.73015,0.00681,1.8588,0.33095,0.43078,0.35237,0.26019,0.33498,0.37332,0.31491,0.19414,1.04345,0.88431,1.7234,0.00861,0,0.000919704,0.000919704,0.000919704
38,6103,1.02066,1.0207,1.71508,0.00675,1.8724,0.36512,0.38095,0.35534,0.27158,0.35343,0.35197,0.31488,0.19468,1.05809,0.91948,1.71116,0.00799,0,0.000905557,0.000905557,0.000905557
39,6262.59,1.01767,1.02526,1.72074,0.00686,1.87701,0.40741,0.359,0.37421,0.27453,0.3953,0.31306,0.32133,0.18883,1.02369,0.91236,1.73701,0.00816,0,0.00089141,0.00089141,0.00089141
40,6422.29,1.01375,0.99239,1.71655,0.00671,1.8935,0.36483,0.3931,0.34965,0.25719,0.36485,0.33314,0.29906,0.17303,0.99568,0.83523,1.7008,0.00757,0,0.000877263,0.000877263,0.000877263
41,6582.18,1.00743,1.0082,1.71838,0.00671,1.83005,0.3939,0.42555,0.41811,0.31494,0.40541,0.36995,0.36926,0.23099,1.02019,0.88047,1.68207,0.00798,0,0.000863116,0.000863116,0.000863116
42,6742.28,1.00474,1.03943,1.67549,0.00662,1.80522,0.35996,0.39694,0.39131,0.30262,0.3634,0.36349,0.35676,0.23253,1.00074,0.82776,1.68662,0.00773,0,0.000848969,0.000848969,0.000848969
43,6902.44,0.9931,1.01646,1.66717,0.00634,1.79752,0.36708,0.41102,0.38926,0.29979,0.38745,0.35566,0.35037,0.22837,1.00634,0.86636,1.64297,0.00761,0,0.000834822,0.000834822,0.000834822
44,7062.52,0.98409,1.02486,1.66159,0.00627,1.72942,0.40469,0.42211,0.41378,0.31997,0.4032,0.38253,0.37034,0.22988,0.97499,0.89228,1.58302,0.00719,0,0.000820675,0.000820675,0.000820675
45,7222.74,0.98605,0.99323,1.65707,0.0063,1.77029,0.41038,0.40805,0.41494,0.32444,0.41515,0.38129,0.38315,0.2495,0.98021,0.82342,1.58887,0.00742,0,0.000806528,0.000806528,0.000806528
46,7382.86,0.99186,1.02546,1.65181,0.00629,1.71506,0.39588,0.43962,0.4311,0.33425,0.40952,0.3732,0.37743,0.23664,0.9896,0.87907,1.59338,0.00743,0,0.00079238,0.00079238,0.00079238
47,7543.25,0.96788,0.97722,1.63333,0.00614,1.73553,0.4143,0.42944,0.42072,0.32126,0.39863,0.38024,0.36876,0.22845,0.97443,0.84197,1.56576,0.00694,0,0.000778233,0.000778233,0.000778233
48,7703.38,0.97669,0.99038,1.65213,0.00628,1.71166,0.42839,0.40204,0.43228,0.34045,0.44096,0.36733,0.39225,0.25802,0.95026,0.7765,1.60009,0.00698,0,0.000764086,0.000764086,0.000764086
49,7863.31,0.96662,0.95103,1.61082,0.00614,1.67132,0.41615,0.43393,0.44346,0.34899,0.42719,0.38988,0.40112,0.25982,0.93915,0.80229,1.54415,0.00665,0,0.000749939,0.000749939,0.000749939
50,8022.8,0.96204,0.98427,1.63835,0.00622,1.70289,0.41227,0.44707,0.43282,0.3375,0.40695,0.40161,0.3869,0.24562,0.94848,0.80312,1.62537,0.00695,0,0.000735792,0.000735792,0.000735792
51,8182.83,0.95148,0.96002,1.61222,0.0061,1.68656,0.44673,0.42672,0.44361,0.34981,0.45691,0.3838,0.39555,0.2473,0.94184,0.84712,1.54793,0.00661,0,0.000721645,0.000721645,0.000721645
52,8342.63,0.96531,0.94212,1.60565,0.00601,1.70858,0.39614,0.43638,0.42084,0.33722,0.40566,0.3919,0.3844,0.25232,0.9374,0.83482,1.7391,0.00649,0,0.000707498,0.000707498,0.000707498
53,8502.25,0.95403,0.97839,1.60745,0.00592,1.6782,0.47448,0.40055,0.44761,0.35767,0.48106,0.38162,0.40573,0.26587,0.94768,0.85457,1.50751,0.00702,0,0.000693351,0.000693351,0.000693351
54,8662.4,0.95184,0.9789,1.60326,0.00614,1.66533,0.47347,0.43176,0.47272,0.36875,0.48486,0.39554,0.42883,0.28113,0.95225,0.81188,1.45672,0.00687,0,0.000679204,0.000679204,0.000679204
55,8822.37,0.9394,0.97228,1.58812,0.00595,1.61668,0.46766,0.42552,0.45682,0.35145,0.45431,0.39222,0.40589,0.24809,0.93406,0.82146,1.49819,0.00707,0,0.000665057,0.000665057,0.000665057
56,8982.2,0.94344,0.96312,1.57759,0.00598,1.55886,0.48916,0.44652,0.48788,0.38367,0.48989,0.40134,0.43155,0.27899,0.9355,0.8276,1.47798,0.00653,0,0.000650909,0.000650909,0.000650909
57,9141.73,0.94769,0.95325,1.54604,0.00606,1.48135,0.45268,0.48664,0.49677,0.39277,0.45118,0.43706,0.44226,0.27953,0.90871,0.87113,1.43063,0.00658,0,0.000636762,0.000636762,0.000636762
58,9301.14,0.94829,0.98085,1.5533,0.00578,1.54258,0.46464,0.43775,0.47336,0.37796,0.45568,0.41046,0.42693,0.27524,0.91814,0.80346,1.50748,0.00643,0,0.000622615,0.000622615,0.000622615
59,9460.5,0.93383,0.94867,1.55395,0.0059,1.47365,0.4621,0.47201,0.48677,0.38331,0.4692,0.41382,0.43316,0.27361,0.91885,0.82222,1.43312,0.00629,0,0.000608468,0.000608468,0.000608468
60,9620.27,0.93277,0.95649,1.53823,0.00588,1.50494,0.47896,0.47971,0.50034,0.39833,0.47662,0.43669,0.45346,0.29196,0.89789,0.80367,1.38774,0.00626,0,0.000594321,0.000594321,0.000594321
61,9780.16,0.91668,0.92508,1.53794,0.00572,1.48392,0.49163,0.45411,0.49325,0.38744,0.48126,0.39821,0.43068,0.26737,0.93377,0.80936,1.43025,0.00635,0,0.000580174,0.000580174,0.000580174
62,9940.06,0.91778,0.89983,1.52934,0.00575,1.42159,0.45669,0.46354,0.48003,0.38209,0.44902,0.41263,0.43068,0.28723,0.92573,0.79872,1.48136,0.00632,0,0.000566027,0.000566027,0.000566027
63,10099.6,0.92903,0.93058,1.55267,0.00574,1.43335,0.49705,0.45754,0.50359,0.39945,0.50307,0.41123,0.45029,0.28744,0.9144,0.84984,1.39043,0.00617,0,0.00055188,0.00055188,0.00055188
64,10259.5,0.90805,0.90244,1.5153,0.00553,1.44808,0.45709,0.45757,0.47781,0.37561,0.46116,0.40736,0.42426,0.2691,0.89376,0.77269,1.45355,0.00609,0,0.000537733,0.000537733,0.000537733
65,10419.2,0.91379,0.93516,1.54573,0.00561,1.44483,0.45915,0.46601,0.49666,0.39155,0.45364,0.42293,0.44462,0.27919,0.90187,0.77212,1.41174,0.00626,0,0.000523586,0.000523586,0.000523586
66,10578.6,0.90977,0.89823,1.52189,0.00559,1.38075,0.49079,0.47669,0.51293,0.40565,0.46995,0.43183,0.44784,0.28812,0.89856,0.83158,1.39916,0.00606,0,0.000509438,0.000509438,0.000509438
67,10739.2,0.89916,0.87035,1.50392,0.00555,1.38443,0.47465,0.48802,0.51239,0.41419,0.49296,0.41431,0.45657,0.29527,0.89177,0.76585,1.35561,0.00594,0,0.000495291,0.000495291,0.000495291
68,10899.4,0.90051,0.92317,1.4823,0.00566,1.36367,0.49499,0.48084,0.52626,0.42118,0.49323,0.43288,0.46617,0.29318,0.87646,0.8323,1.3462,0.00583,0,0.000481144,0.000481144,0.000481144
69,11059.6,0.88364,0.89786,1.4701,0.00538,1.36851,0.51545,0.4951,0.52794,0.41989,0.51484,0.44338,0.47377,0.29927,0.89461,0.75572,1.336,0.00612,0,0.000466997,0.000466997,0.000466997
70,11220.2,0.88834,0.91255,1.50413,0.00548,1.39767,0.51676,0.49834,0.52941,0.42469,0.49995,0.45686,0.4741,0.30931,0.88558,0.76125,1.32961,0.00593,0,0.00045285,0.00045285,0.00045285
71,11380.5,0.88952,0.89592,1.45328,0.00536,1.33058,0.51384,0.49395,0.52685,0.41893,0.50522,0.44743,0.47024,0.29511,0.86732,0.77595,1.35957,0.00608,0,0.000438703,0.000438703,0.000438703
72,11540.5,0.88736,0.88817,1.47633,0.0052,1.33635,0.46779,0.49827,0.5083,0.41197,0.45906,0.44867,0.45742,0.29963,0.86168,0.76393,1.38502,0.00592,0,0.000424556,0.000424556,0.000424556
73,11701.3,0.89157,0.88441,1.47802,0.00536,1.29588,0.51807,0.47549,0.52617,0.42133,0.51888,0.43758,0.472,0.30095,0.87063,0.78496,1.38549,0.00582,0,0.000410409,0.000410409,0.000410409
74,11861.1,0.89384,0.90803,1.46623,0.00533,1.31424,0.53047,0.47085,0.53654,0.43482,0.52092,0.4373,0.48736,0.31706,0.86888,0.77163,1.33424,0.00586,0,0.000396262,0.000396262,0.000396262
75,12021.4,0.87315,0.86988,1.43239,0.00519,1.26475,0.52915,0.48271,0.54451,0.43914,0.53667,0.43851,0.49165,0.31436,0.87223,0.77499,1.30505,0.00581,0,0.000382115,0.000382115,0.000382115
76,12181.7,0.87762,0.89403,1.43635,0.0053,1.23961,0.52064,0.49652,0.54616,0.43812,0.54024,0.44657,0.492,0.31234,0.87066,0.78782,1.30418,0.00584,0,0.000367967,0.000367967,0.000367967
77,12342.5,0.86728,0.8769,1.43139,0.00504,1.25104,0.54308,0.50215,0.55596,0.45213,0.5409,0.45291,0.50069,0.32069,0.86198,0.78291,1.28438,0.00556,0,0.00035382,0.00035382,0.00035382
78,12502.7,0.85911,0.85733,1.42118,0.00512,1.25394,0.54735,0.4844,0.55685,0.45168,0.55544,0.43663,0.4979,0.31725,0.84237,0.7884,1.28654,0.00554,0,0.000339673,0.000339673,0.000339673
79,12663,0.86696,0.87946,1.42917,0.00507,1.2144,0.53136,0.49632,0.55227,0.4471,0.52676,0.45416,0.49501,0.3083,0.84494,0.77373,1.29564,0.00551,0,0.000325526,0.000325526,0.000325526
